epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.935,4.42203,7.71209,1.43214,0.00048,0.14286,0.00029,6e-05,4.46746,5.28887,1.23521,0.000659091,0.000659091,0.000659091
2,269.038,4.09796,4.61048,1.1798,0.0007,0.19048,0.00065,9e-05,4.56183,4.39838,1.22643,0.00129951,0.00129951,0.00129951
3,383.698,3.95144,4.21721,1.14158,0.00049,0.14286,0.00188,0.00024,4.54574,4.36226,1.1776,0.00191352,0.00191352,0.00191352
4,503.064,3.90777,3.91436,1.14765,0,0,0,0,4.18129,4.59281,1.26103,0.0018812,0.0018812,0.0018812
5,625.309,3.89549,3.74119,1.12825,0.00069,0.11905,0.0004,7e-05,4.3833,4.13074,1.14129,0.0018416,0.0018416,0.0018416
6,761.7,3.82865,3.61021,1.1109,0.00085,0.09524,0.00061,9e-05,4.51546,3.77496,1.17435,0.001802,0.001802,0.001802
7,883.953,3.76858,3.59153,1.09935,0.00037,0.07143,0.00022,3e-05,4.53246,4.10497,1.16047,0.0017624,0.0017624,0.0017624
8,1003.27,3.82125,3.55642,1.11447,0.00077,0.07143,0.0005,5e-05,4.48659,3.95791,1.19644,0.0017228,0.0017228,0.0017228
9,1118.93,3.75288,3.54002,1.1006,0.00035,0.09524,0.00024,5e-05,4.28791,4.34662,1.11289,0.0016832,0.0016832,0.0016832
10,1244.57,3.77012,3.487,1.10383,0.00087,0.11905,0.00052,5e-05,4.62313,3.67869,1.16015,0.0016436,0.0016436,0.0016436
11,1362.84,3.76328,3.47809,1.09677,0.00168,0.09524,0.00141,0.00017,4.00091,4.05581,1.09627,0.001604,0.001604,0.001604
12,1478.01,3.7519,3.40617,1.09121,0.00022,0.02381,0.00012,2e-05,4.48207,4.01302,1.14954,0.0015644,0.0015644,0.0015644
13,1644.31,3.69058,3.42555,1.09494,0.00123,0.09524,0.00077,8e-05,4.41777,3.69481,1.14989,0.0015248,0.0015248,0.0015248
14,1820.05,3.71389,3.34544,1.0964,0.00135,0.09524,0.00076,0.00011,4.11589,4.27596,1.13088,0.0014852,0.0014852,0.0014852
15,1960.08,3.67502,3.33184,1.08412,0.00078,0.07143,0.00043,7e-05,4.19493,4.28283,1.16555,0.0014456,0.0014456,0.0014456
16,2104.54,3.66714,3.32096,1.08418,0,0,0,0,4.92061,4.06837,1.23515,0.001406,0.001406,0.001406
17,2322.29,3.70432,3.3513,1.08927,0.00045,0.07143,0.00024,3e-05,4.68721,4.46321,1.18651,0.0013664,0.0013664,0.0013664
18,2482.67,3.65462,3.29937,1.08311,0.00215,0.16667,0.00159,0.00028,4.4201,3.59211,1.15525,0.0013268,0.0013268,0.0013268
19,2627.47,3.62104,3.27773,1.07388,0.00075,0.09524,0.00058,8e-05,4.47932,3.67488,1.14905,0.0012872,0.0012872,0.0012872
20,2809.14,3.62342,3.30558,1.07334,0.00255,0.30952,0.00167,0.00028,4.19023,3.76796,1.14311,0.0012476,0.0012476,0.0012476
21,2962.86,3.68289,3.25558,1.0795,0.00324,0.30952,0.00219,0.00032,4.08051,3.7308,1.14576,0.001208,0.001208,0.001208
22,3153.11,3.60222,3.2774,1.06671,0.0002,0.02381,0.00011,1e-05,4.25611,4.39065,1.20536,0.0011684,0.0011684,0.0011684
23,3340.92,3.65909,3.30095,1.08358,0.00187,0.07143,0.00119,0.00022,4.5435,3.45108,1.16352,0.0011288,0.0011288,0.0011288
24,3519.82,3.60453,3.23977,1.07288,0.0017,0.2619,0.00126,0.00025,4.1804,3.79689,1.14112,0.0010892,0.0010892,0.0010892
25,3687.97,3.61342,3.24306,1.07347,0.00085,0.14286,0.00048,6e-05,4.35773,4.39937,1.18125,0.0010496,0.0010496,0.0010496
26,3852.45,3.58953,3.21697,1.06549,0.00018,0.02381,9e-05,1e-05,4.60741,4.20149,1.17507,0.00101,0.00101,0.00101
27,4025.74,3.56524,3.22109,1.06342,0.00402,0.21429,0.00246,0.00049,4.02769,3.71241,1.13829,0.0009704,0.0009704,0.0009704
28,4215.07,3.59504,3.18732,1.07326,0.00143,0.09524,0.00089,0.00015,4.30503,3.73106,1.15239,0.0009308,0.0009308,0.0009308
29,4418.79,3.56438,3.22062,1.06649,0.0018,0.16667,0.0011,0.00017,4.04133,3.5613,1.11112,0.0008912,0.0008912,0.0008912
